Drive,Description, Historic Average Current,Shift Current Hi,Shift Current Low,Shift Average,Delta Current High,Delta Current Low,Shift
28,Conveyor 29,6.60,7.22,6.08,6.50,0.62,0.52,2
41,Blower 1,11.60,12.07,11.12,6.00,0.47,0.48,2
42,Blower 2,10.70,11.16,10.12,4.70,0.46,0.58,2
43,Blower 3,10.00,10.54,9.34,4.70,0.54,0.66,2
1,Conveyor 1,6.50,7.11,6.03,5.40,0.61,0.47,3
2,Conveyor 2,5.60,6.09,5.00,6.50,0.49,0.60,3
3,Conveyor  3,5.50,5.95,4.94,6.30,0.45,0.56,3
4,Conveyor  4,5.20,5.72,4.69,4.80,0.52,0.51,3
5,Conveyor  5,6.30,6.81,5.77,5.50,0.51,0.53,3
6,Conveyor  6,5.00,5.44,4.56,4.90,0.44,0.44,3
7,Conveyor  7,6.10,6.57,5.49,6.60,0.47,0.61,3
8,Conveyor  8,5.40,6.04,4.80,6.20,0.64,0.60,3
9,Conveyor  9,6.30,6.85,5.84,6.10,0.55,0.46,3
10,Conveyor 10,5.80,6.43,5.25,6.40,0.63,0.55,3
11,Conveyor 11,5.20,5.68,4.59,5.70,0.48,0.61,3
12,Conveyor 12,5.10,5.63,4.56,5.60,0.53,0.54,3
13,Conveyor 13,6.20,6.79,5.71,5.80,0.59,0.49,3
14,Conveyor 14,6.40,6.91,5.80,5.70,0.51,0.60,3
15,Conveyor 15,6.60,7.18,6.04,4.80,0.58,0.56,3
16,Conveyor 16,5.90,6.41,5.26,5.00,0.51,0.64,3
17,Conveyor 17,6.30,6.77,5.74,6.20,0.47,0.56,3
18,Conveyor 18,6.40,6.87,5.92,4.50,0.47,0.48,3
19,Conveyor 19,6.30,6.87,5.80,6.10,0.57,0.50,3
20,Conveyor 20,5.80,6.40,5.19,5.90,0.60,0.61,3
21,Conveyor 21,4.80,5.27,4.26,4.90,0.47,0.54,3
22,Conveyor 22,6.60,7.11,5.96,5.40,0.51,0.64,3
23,Conveyor 23,6.50,6.96,6.03,6.10,0.46,0.47,3
24,Conveyor 24,5.60,6.09,5.12,6.00,0.49,0.48,3
25,Conveyor 25,5.80,6.30,5.29,5.10,0.50,0.51,3
26,Conveyor 26,5.70,6.14,5.09,5.30,0.44,0.61,3
27,Conveyor 27,6.60,7.04,5.95,5.00,0.44,0.65,3
28,Conveyor 29,4.50,5.02,3.96,6.60,0.52,0.54,3
41,Blower 1,12.10,12.54,11.63,5.90,0.44,0.47,3
42,Blower 2,11.50,12.14,11.02,4.60,0.64,0.48,3
43,Blower 3,12.30,12.95,11.73,5.70,0.65,0.57,3
